,nation,player_name,team,url
3657,Russia,Alexandr Zotov,Dinamo Moscow,https://www.fifaindex.com/player/199910/alexandr-zotov/
3658,Germany,Nicolas H?fler,SC Freiburg,https://www.fifaindex.com/player/199897/nicolas-h%C3%B6fler/
3659,Switzerland,L?o Lacroix,AS Saint-?tienne,https://www.fifaindex.com/player/199895/l%C3%A9o-lacroix/
3660,Germany,Lars Unnerstall,VVV-Venlo,https://www.fifaindex.com/player/199833/lars-unnerstall/
3661,France,Romain M?tanire,Stade de Reims,https://www.fifaindex.com/player/199781/romain-m%C3%A9tanire/
3662,Poland,Marcin Kami?ski,VfB Stuttgart,https://www.fifaindex.com/player/199761/marcin-kami%C5%84ski/
3663,Nigeria,Rilwan Hassan,FC Midtjylland,https://www.fifaindex.com/player/199750/rilwan-hassan/
3664,Austria,Daniel Royer,NY Red Bulls,https://www.fifaindex.com/player/199729/daniel-royer/
3665,Brazil,Fernando Canes?n,KV Oostende,https://www.fifaindex.com/player/199651/fernando-canes%C3%ADn/
3666,Spain,Paco Monta??s,CD Tenerife,https://www.fifaindex.com/player/199594/paco-monta%C3%B1%C3%A9s/
3667,Mexico,Jes?s S?nchez,Guadalajara,https://www.fifaindex.com/player/199570/jes%C3%BAs-s%C3%A1nchez/
3668,Albania,Bekim Balaj,Terek Grozny,https://www.fifaindex.com/player/199563/bekim-balaj/
3669,Brazil,Claiton,Cremonese,https://www.fifaindex.com/player/199517/claiton/
3670,Albania,Taulant Xhaka,FC Basel,https://www.fifaindex.com/player/199504/taulant-xhaka/
3671,Uruguay,Mat?as Aguirregaray,Tijuana,https://www.fifaindex.com/player/199392/mat%C3%ADas-aguirregaray/
3672,Netherlands,Bryan Linssen,Vitesse,https://www.fifaindex.com/player/199386/bryan-linssen/
3673,France,Mathieu Duhamel,US Quevilly Rouen,https://www.fifaindex.com/player/199378/mathieu-duhamel/
3674,Russia,Arsen Khubulov,Anzhi Makhachkala,https://www.fifaindex.com/player/199290/arsen-khubulov/
3675,Spain,?lex Fern?ndez,C?diz C.F.,https://www.fifaindex.com/player/199247/%C3%A1lex-fern%C3%A1ndez/
3676,Korea Republic,Yun Young Sun,Sangju Sangmu,https://www.fifaindex.com/player/199238/yun-young-sun/
3677,France,Jonathan Delaplace,SM Caen,https://www.fifaindex.com/player/199195/jonathan-delaplace/
3678,Korea Republic,Kim Bo Kyung,Kashiwa Reysol,https://www.fifaindex.com/player/199183/kim-bo-kyung/
3679,Ghana,Isaac Cofie,Genoa,https://www.fifaindex.com/player/198908/isaac-cofie/
3680,Scotland,Grant Hanley,Norwich,https://www.fifaindex.com/player/198904/grant-hanley/
3681,Australia,Bailey Wright,Bristol City,https://www.fifaindex.com/player/198810/bailey-wright/
3682,Norway,Fredrik Midtsj©ª,AZ,https://www.fifaindex.com/player/198658/fredrik-midtsj%C3%B8/
3683,Spain,Arroyo,Albacete,https://www.fifaindex.com/player/198630/arroyo/
3684,Germany,Dominick Drexler,Holstein Kiel,https://www.fifaindex.com/player/198617/dominick-drexler/
3685,Costa Rica,Cristian Gamboa,Celtic,https://www.fifaindex.com/player/198553/cristian-gamboa/
3686,Portugal,Cl?udio Ramos,Tondela,https://www.fifaindex.com/player/198513/cl%C3%A1udio-ramos/
3687,Finland,Paulus Arajuuri,Br©ªndby IF,https://www.fifaindex.com/player/198479/paulus-arajuuri/
3688,Spain,Guiti?n,Real Valladolid,https://www.fifaindex.com/player/198474/guiti%C3%A1n/
3689,Sweden,Alexander Ka?anikli?,FC Nantes,https://www.fifaindex.com/player/198394/alexander-ka%C4%8Danikli%C4%87/
3690,England,George Thorne,Derby County,https://www.fifaindex.com/player/198379/george-thorne/
3691,Costa Rica,Bryan Oviedo,Sunderland,https://www.fifaindex.com/player/198335/bryan-oviedo/
3692,Netherlands,Luc Castaignos,Vitesse,https://www.fifaindex.com/player/198175/luc-castaignos/
3693,Serbia,Stefan ??epovi?,Sporting Gij?n,https://www.fifaindex.com/player/198146/stefan-%C5%A1%C4%87epovi%C4%87/
3694,Curacao,Leandro Bacuna,Reading,https://www.fifaindex.com/player/198133/leandro-bacuna/
3695,Poland,Damian D?browski,Cracovia,https://www.fifaindex.com/player/198046/damian-d%C4%85browski/
3696,Portugal,Alex,Salerno,https://www.fifaindex.com/player/198033/alex/
3697,Portugal,Ivo Pinto,Norwich,https://www.fifaindex.com/player/197860/ivo-pinto/
3698,Belgium,Dedryck Boyata,Celtic,https://www.fifaindex.com/player/197837/dedryck-boyata/
3699,Algeria,Idriss Saadi,RC Strasbourg,https://www.fifaindex.com/player/197480/idriss-saadi/
3700,Norway,Lars Vilsvik,Str©ªmsgodset IF,https://www.fifaindex.com/player/197391/lars-vilsvik/
3701,Armenia,Marcos Pizzelli,Al Shabab,https://www.fifaindex.com/player/196217/marcos-pizzelli/
3702,England,James Tavernier,Rangers,https://www.fifaindex.com/player/195479/james-tavernier/
3703,Russia,Rizvan Utsiev,Terek Grozny,https://www.fifaindex.com/player/195011/rizvan-utsiev/
3704,Portugal,Edgar Costa,Mar?timo,https://www.fifaindex.com/player/194956/edgar-costa/
3705,England,Louis Moult,Motherwell,https://www.fifaindex.com/player/194925/louis-moult/
3706,Cape Verde,Ryan Mendes,Kayserispor,https://www.fifaindex.com/player/194847/ryan-mendes/
3707,Germany,Diego Contento,Giron. Bordeaux,https://www.fifaindex.com/player/194727/diego-contento/
3708,Poland,Rafa©© Gikiewicz,SC Freiburg,https://www.fifaindex.com/player/194333/rafa%C5%82-gikiewicz/
3709,Senegal,Fallou Diagne,FC Metz,https://www.fifaindex.com/player/194196/fallou-diagne/
3710,Portugal,Marco Paix?o,Lechia Gda?sk,https://www.fifaindex.com/player/194083/marco-paix%C3%A3o/
3711,Guinea Bissau,Pel?,Rio Ave,https://www.fifaindex.com/player/194020/pel%C3%A9/
3712,England,Adam Forshaw,Middlesbrough,https://www.fifaindex.com/player/193910/adam-forshaw/
3713,England,Sam Clucas,Swansea City,https://www.fifaindex.com/player/193884/sam-clucas/
3714,Spain,Portillo,Getafe CF,https://www.fifaindex.com/player/193844/portillo/
3715,Bosnia Herzegovina,Izet Hajrovi?,Werder Bremen,https://www.fifaindex.com/player/193780/izet-hajrovi%C4%87/
3716,Bosnia Herzegovina,Dario Dumi?,FC Utrecht,https://www.fifaindex.com/player/193706/dario-dumi%C4%87/
3717,Brazil,Cau?,Omiya Ardija,https://www.fifaindex.com/player/193693/cau%C3%AA/
3718,Montenegro,?arko Toma?evi?,KV Oostende,https://www.fifaindex.com/player/193690/%C5%BEarko-toma%C5%A1evi%C4%87/
3719,Italy,Vasco Regini,Sampdoria,https://www.fifaindex.com/player/193686/vasco-regini/
3720,Switzerland,Loris Benito,BSC Young Boys,https://www.fifaindex.com/player/193468/loris-benito/
3721,Brazil,Douglas,SL Benfica,https://www.fifaindex.com/player/193429/douglas/
3722,Slovenia,Vid Belec,Benevento,https://www.fifaindex.com/player/193336/vid-belec/
3723,DR Congo,Chris Mavinga,Toronto FC,https://www.fifaindex.com/player/193278/chris-mavinga/
3724,Italy,Fabio Pisacane,Cagliari,https://www.fifaindex.com/player/193267/fabio-pisacane/
3725,Austria,Christopher Trimmel,Union Berlin,https://www.fifaindex.com/player/193254/christopher-trimmel/
3726,South Africa,Andile Jali,KV Oostende,https://www.fifaindex.com/player/193234/andile-jali/
3727,France,Benjamin Jeannot,Dijon FCO,https://www.fifaindex.com/player/193226/benjamin-jeannot/
3728,Germany,Fabian Giefer,FC Augsburg,https://www.fifaindex.com/player/193222/fabian-giefer/
3729,England,Wes Foderingham,Rangers,https://www.fifaindex.com/player/193182/wes-foderingham/
3730,Ivory Coast,Adama Traor?,G?ztepe,https://www.fifaindex.com/player/193177/adama-traor%C3%A9/
3731,Portugal,Roderick Miranda,Wolves,https://www.fifaindex.com/player/193143/roderick-miranda/
3732,France,Matthieu Saunier,Granada CF,https://www.fifaindex.com/player/193081/matthieu-saunier/
3733,Spain,Carlos David,SD Huesca,https://www.fifaindex.com/player/193064/carlos-david/
3734,Sweden,Astrit Ajdarevi?,AEK Athens,https://www.fifaindex.com/player/193029/astrit-ajdarevi%C4%87/
3735,Poland,Mateusz Klich,Leeds United,https://www.fifaindex.com/player/192955/mateusz-klich/
3736,Russia,Edgar Prib,Hannover 96,https://www.fifaindex.com/player/192732/edgar-prib/
3737,Senegal,Mustapha Diallo,EA Guingamp,https://www.fifaindex.com/player/192673/mustapha-diallo/
3738,Germany,Andreas Luthe,FC Augsburg,https://www.fifaindex.com/player/192665/andreas-luthe/
3739,Germany,Fabian Klos,Arminia Bielefeld,https://www.fifaindex.com/player/192663/fabian-klos/
3740,Romania,Costel Pantilimon,RC Deportivo,https://www.fifaindex.com/player/192613/costel-pantilimon/
3741,Argentina,Fabi?n Rinaudo,G. La Plata,https://www.fifaindex.com/player/192371/fabi%C3%A1n-rinaudo/
3742,Denmark,Mads Fenger,Hammarby IF,https://www.fifaindex.com/player/192363/mads-fenger/
3743,Belgium,Mats Rits,KV Mechelen,https://www.fifaindex.com/player/191627/mats-rits/
3744,Japan,Shinzo Koroki,Urawa Diamonds,https://www.fifaindex.com/player/191547/shinzo-koroki/
3745,Japan,Atsuto Uchida,Union Berlin,https://www.fifaindex.com/player/191541/atsuto-uchida/
3746,Ecuador,Fidel Mart?nez,Atlas,https://www.fifaindex.com/player/191164/fidel-mart%C3%ADnez/
3747,England,Connor Wickham,Crystal Palace,https://www.fifaindex.com/player/191089/connor-wickham/
3748,Egypt,Ahmed Elmohamady,Aston Villa,https://www.fifaindex.com/player/191005/ahmed-elmohamady/
3749,Brazil,Sandro,Antalyaspor,https://www.fifaindex.com/player/190782/sandro/
3750,Italy,Eugenio Lamanna,Genoa,https://www.fifaindex.com/player/190769/eugenio-lamanna/
3751,Germany,Manuel Gulde,SC Freiburg,https://www.fifaindex.com/player/190666/manuel-gulde/
3752,France,Herv? Bazile,SM Caen,https://www.fifaindex.com/player/190659/herv%C3%A9-bazile/
3753,Serbia,Danijel Aleksi?,FC St. Gallen,https://www.fifaindex.com/player/190593/danijel-aleksi%C4%87/
3754,France,Yoann Andreu,Angers SCO,https://www.fifaindex.com/player/190579/yoann-andreu/
3755,Belgium,Yassine El Ghanassy,FC Nantes,https://www.fifaindex.com/player/190516/yassine-el-ghanassy/
3756,Ghana,Daniel Opare,FC Augsburg,https://www.fifaindex.com/player/190494/daniel-opare/
3757,South Africa,Bernard Parker,Kaizer Chiefs,https://www.fifaindex.com/player/190471/bernard-parker/
3758,Norway,Andr? Hansen,Rosenborg BK,https://www.fifaindex.com/player/190459/andr%C3%A9-hansen/
3759,Portugal,Guedes,Rio Ave,https://www.fifaindex.com/player/190356/guedes/
3760,Zimbabwe,Costa Nhamoinesu,Sparta Praha,https://www.fifaindex.com/player/189923/costa-nhamoinesu/
3761,Netherlands,Vito Wormgoor,SK Brann,https://www.fifaindex.com/player/189899/vito-wormgoor/
3762,Iran,Reza Ghoochannejhad,SC Heerenveen,https://www.fifaindex.com/player/189717/reza-ghoochannejhad/
3763,Brazil,F?bio,Middlesbrough,https://www.fifaindex.com/player/189680/f%C3%A1bio/
3764,Czech Republic,Josef Hu?bauer,Free Agents,https://www.fifaindex.com/player/189600/josef-hu%C5%A1bauer/
3765,Spain,Lillo,CA Osasuna,https://www.fifaindex.com/player/189553/lillo/
3766,Germany,Mirko Boland,Braunschweig,https://www.fifaindex.com/player/189490/mirko-boland/
3767,Czech Republic,Josef ?ural,Sparta Praha,https://www.fifaindex.com/player/189480/josef-%C5%A1ural/
3768,Spain,Aridane,CA Osasuna,https://www.fifaindex.com/player/189472/aridane/
3769,Italy,Lorenzo Ariaudo,Frosinone,https://www.fifaindex.com/player/189436/lorenzo-ariaudo/
3770,England,Nathan Baker,Bristol City,https://www.fifaindex.com/player/189403/nathan-baker/
3771,Germany,Florian Jungwirth,SJ Earthquakes,https://www.fifaindex.com/player/189397/florian-jungwirth/
3772,Iceland,Aron Gunnarsson,Cardiff City,https://www.fifaindex.com/player/189167/aron-gunnarsson/
3773,Italy,Francesco Caputo,Empoli,https://www.fifaindex.com/player/189053/francesco-caputo/
3774,Paraguay,Marcelo Estigarribia,Santa Fe,https://www.fifaindex.com/player/188992/marcelo-estigarribia/
3775,Italy,Luca Siligardi,Parma,https://www.fifaindex.com/player/188949/luca-siligardi/
3776,Argentina,Cristian ?lvarez,Real Zaragoza,https://www.fifaindex.com/player/188938/cristian-%C3%A1lvarez/
3777,Czech Republic,Libor Koz?k,Bari,https://www.fifaindex.com/player/188871/libor-koz%C3%A1k/
3778,Turkey,Mustafa Pektemek,Be?ikta?,https://www.fifaindex.com/player/188674/mustafa-pektemek/
3779,Chile,Carlos Carmona,Atlanta United FC,https://www.fifaindex.com/player/188413/carlos-carmona/
3780,France,Marvin Martin,Stade de Reims,https://www.fifaindex.com/player/188385/marvin-martin/
3781,Argentina,Ricardo Noir,Racing Club,https://www.fifaindex.com/player/188196/ricardo-noir/
3782,Netherlands,Douglas,Sporting CP,https://www.fifaindex.com/player/188177/douglas/
3783,Netherlands,Lex Immers,ADO Den Haag,https://www.fifaindex.com/player/188157/lex-immers/
3784,Spain,Manu Barreiro,Gimn?stic,https://www.fifaindex.com/player/188128/manu-barreiro/
3785,Venezuela,Ronald Vargas,Newcastle Jets,https://www.fifaindex.com/player/188070/ronald-vargas/
3786,Mexico,Edwin Hern?ndez,Guadalajara,https://www.fifaindex.com/player/187705/edwin-hern%C3%A1ndez/
3787,Russia,Sergey Pesyakov,FC Rostov,https://www.fifaindex.com/player/187666/sergey-pesyakov/
3788,Argentina,Cristian Maidana,?guilas Doradas,https://www.fifaindex.com/player/187644/cristian-maidana/
3789,Russia,Vladimir Granat,Rubin Kazan,https://www.fifaindex.com/player/187415/vladimir-granat/
3790,Sweden,Jiloan Hamad,Hammarby IF,https://www.fifaindex.com/player/187339/jiloan-hamad/
3791,Mexico,Israel Jim?nez,Tigres,https://www.fifaindex.com/player/186979/israel-jim%C3%A9nez/
3792,Northern Ireland,Niall McGinn,GwangJu FC,https://www.fifaindex.com/player/186839/niall-mcginn/
3793,Serbia,Gojko Ka?ar,FC Augsburg,https://www.fifaindex.com/player/186687/gojko-ka%C4%8Dar/
3794,Turkey,G?ray Vural,Kayserispor,https://www.fifaindex.com/player/186651/g%C3%BCray-vural/
3795,Hungary,Tam?s K?d?r,Free Agents,https://www.fifaindex.com/player/186648/tam%C3%A1s-k%C3%A1d%C3%A1r/
3796,Wales,Andy King,Leicester City,https://www.fifaindex.com/player/186578/andy-king/
3797,Benin,Khaled Ad?non,Amiens SC,https://www.fifaindex.com/player/186567/khaled-ad%C3%A9non/
3798,Argentina,Mat?as Rodr?guez,Uni. de Chile,https://www.fifaindex.com/player/186553/mat%C3%ADas-rodr%C3%ADguez/
3799,Spain,Juan Cala,Getafe CF,https://www.fifaindex.com/player/186519/juan-cala/
3800,Tunisia,Hamdi Harbaoui,RSC Anderlecht,https://www.fifaindex.com/player/186444/hamdi-harbaoui/
3801,Slovakia,Tom?? Hubo?an,Trabzonspor,https://www.fifaindex.com/player/186253/tom%C3%A1%C5%A1-hubo%C4%8Dan/
3802,Northern Ireland,Oliver Norwood,Fulham,https://www.fifaindex.com/player/186143/oliver-norwood/
3803,England,Matty James,Leicester City,https://www.fifaindex.com/player/186139/matty-james/
3804,Norway,Vegard Forren,Molde FK,https://www.fifaindex.com/player/185394/vegard-forren/
3805,France,Aur?lien Collin,NY Red Bulls,https://www.fifaindex.com/player/184664/aur%C3%A9lien-collin/
3806,Scotland,Jordan Rhodes,Sheffield Wed,https://www.fifaindex.com/player/184624/jordan-rhodes/
3807,Netherlands,Michiel Kramer,Feyenoord,https://www.fifaindex.com/player/184614/michiel-kramer/
3808,Turkey,?mer ?i?mano?lu,G?ztepe,https://www.fifaindex.com/player/184518/%C3%B6mer-%C5%9Fi%C5%9Fmano%C4%9Flu/
3809,France,Julien C?tout,AS Nancy,https://www.fifaindex.com/player/184502/julien-c%C3%A9tout/
3810,Republic of Ireland,Alan Judge,Brentford,https://www.fifaindex.com/player/184471/alan-judge/
3811,Argentina,Luis Ardente,San Juan,https://www.fifaindex.com/player/184422/luis-ardente/
3812,Brazil,Paulo Henrique,Akhisarspor,https://www.fifaindex.com/player/184401/paulo-henrique/
3813,England,Martin Kelly,Crystal Palace,https://www.fifaindex.com/player/184037/martin-kelly/
3814,France,Nolan Roux,FC Metz,https://www.fifaindex.com/player/183982/nolan-roux/
3815,Cameroon,Jean-Armel Kana-Biyik,Kayserispor,https://www.fifaindex.com/player/183975/jean-armel-kana-biyik/
3816,Argentina,Maxi Moralez,NYCFC,https://www.fifaindex.com/player/183895/maxi-moralez/
3817,Madagascar,Ima Faneva Andriatsima,FC Sochaux,https://www.fifaindex.com/player/183833/ima-faneva-andriatsima/
3818,Denmark,Andreas Bjelland,Brentford,https://www.fifaindex.com/player/183781/andreas-bjelland/
3819,Turkey,Ali ?amdal©¥,Konyaspor,https://www.fifaindex.com/player/183769/ali-%C3%A7amdal%C4%B1/
3820,Bosnia Herzegovina,Avdija Vr?ajevi?,Osmanl©¥spor,https://www.fifaindex.com/player/183746/avdija-vr%C5%A1ajevi%C4%8D/
3821,Brazil,Vagner,Boavista,https://www.fifaindex.com/player/183722/vagner/
3822,England,Martyn Waghorn,Ipswich,https://www.fifaindex.com/player/183706/martyn-waghorn/
3823,Austria,Alexander Gr?nwald,Austria Wien,https://www.fifaindex.com/player/183644/alexander-gr%C3%BCnwald/
3824,Netherlands,Erwin Mulder,Swansea City,https://www.fifaindex.com/player/183567/erwin-mulder/
3825,Scotland,Barry Bannan,Sheffield Wed,https://www.fifaindex.com/player/183540/barry-bannan/
3826,England,Jack Rodwell,Sunderland,https://www.fifaindex.com/player/183465/jack-rodwell/
3827,Italy,Eros Pisano,Bristol City,https://www.fifaindex.com/player/183454/eros-pisano/
3828,Italy,Davide Di Gennaro,Lazio,https://www.fifaindex.com/player/183414/davide-di-gennaro/
3829,Cameroon,Guy-Roland Ndy Assembe,AS Nancy,https://www.fifaindex.com/player/183391/guy-roland-ndy-assembe/
3830,Norway,P?l Andr? Helland,Rosenborg BK,https://www.fifaindex.com/player/183336/p%C3%A5l-andr%C3%A9-helland/
3831,France,Fabien Lemoine,FC Lorient,https://www.fifaindex.com/player/183287/fabien-lemoine/
3832,Czech Republic,Jan Mor?vek,FC Augsburg,https://www.fifaindex.com/player/183220/jan-mor%C3%A1vek/
3833,Australia,Robbie Kruse,VfL Bochum,https://www.fifaindex.com/player/182440/robbie-kruse/
3834,Hungary,Kriszti?n N?meth,New England,https://www.fifaindex.com/player/182130/kriszti%C3%A1n-n%C3%A9meth/
3835,China PR,Zeng Cheng,Free Agents,https://www.fifaindex.com/player/182043/zeng-cheng/
3836,Haiti,Romain Genevois,SM Caen,https://www.fifaindex.com/player/181456/romain-genevois/
3837,Sweden,Rasmus Bengtsson,Malm? FF,https://www.fifaindex.com/player/181445/rasmus-bengtsson/
3838,France,Damien Marcq,KAA Gent,https://www.fifaindex.com/player/181436/damien-marcq/
3839,Korea DPR,Chong Te Se,Shimizu,https://www.fifaindex.com/player/181120/chong-te-se/
3840,Republic of Ireland,David McGoldrick,Ipswich,https://www.fifaindex.com/player/180818/david-mcgoldrick/
3841,Japan,Eiji Kawashima,FC Metz,https://www.fifaindex.com/player/180739/eiji-kawashima/
3842,Turkey,Ceyhun G?lselam,Karab?kspor,https://www.fifaindex.com/player/180409/ceyhun-g%C3%BClselam/
3843,Iceland,Ragnar Sigur©£sson,Rubin Kazan,https://www.fifaindex.com/player/179897/ragnar-sigur%C3%B0sson/
3844,United States,Luis Robles,NY Red Bulls,https://www.fifaindex.com/player/179820/luis-robles/
3845,Paraguay,Miguel Samudio,Am?rica,https://www.fifaindex.com/player/179681/miguel-samudio/
3846,Morocco,Adel Taarabt,Genoa,https://www.fifaindex.com/player/179605/adel-taarabt/
3847,Poland,Rados©©aw Majewski,Lech Pozna?,https://www.fifaindex.com/player/179569/rados%C5%82aw-majewski/
3848,Germany,Rouwen Hennings,F. D?sseldorf,https://www.fifaindex.com/player/179516/rouwen-hennings/
3849,France,Thomas Phibel,Anzhi Makhachkala,https://www.fifaindex.com/player/179509/thomas-phibel/
3850,Bulgaria,Nikolay Dimitrov,FC Ural,https://www.fifaindex.com/player/178773/nikolay-dimitrov/
3851,Portugal,Nuno Andr? Coelho,Chaves,https://www.fifaindex.com/player/178684/nuno-andr%C3%A9-coelho/
3852,Argentina,Javier Garc?a,Racing Club,https://www.fifaindex.com/player/178566/javier-garc%C3%ADa/
3853,England,Craig Gardner,Birmingham City,https://www.fifaindex.com/player/178487/craig-gardner/
3854,France,Nicolas Frey,Chievo Verona,https://www.fifaindex.com/player/178430/nicolas-frey/
3855,Netherlands,Wout Brama,Central Coast,https://www.fifaindex.com/player/178319/wout-brama/
3856,France,Romain Danz?,Stade Rennais,https://www.fifaindex.com/player/178251/romain-danz%C3%A9/
3857,Belgium,Seth De Witte,KV Mechelen,https://www.fifaindex.com/player/178135/seth-de-witte/
3858,Turkey,?zer Hurmac©¥,Osmanl©¥spor,https://www.fifaindex.com/player/178029/%C3%B6zer-hurmac%C4%B1/
3859,Mexico,Daniel Guerrero,Puebla,https://www.fifaindex.com/player/177955/daniel-guerrero/
3860,Turkey,Mehmet G?ven,Osmanl©¥spor,https://www.fifaindex.com/player/177914/mehmet-g%C3%BCven/
3861,Bosnia Herzegovina,Mario Vran?i?,Norwich,https://www.fifaindex.com/player/177896/mario-vran%C4%8Di%C4%87/
3862,Cameroon,Ga?tan Bong,Brighton,https://www.fifaindex.com/player/177766/ga%C3%ABtan-bong/
3863,Albania,Shk?lzen Gashi,Colorado Rapids,https://www.fifaindex.com/player/177673/shk%C3%ABlzen-gashi/
3864,Spain,?ngel,Getafe CF,https://www.fifaindex.com/player/177633/%C3%A1ngel/
3865,Mexico,Carlos Felipe Rodr?guez,Le?n,https://www.fifaindex.com/player/177621/carlos-felipe-rodr%C3%ADguez/
3866,Belgium,Timothy Derijck,Zulte-Waregem,https://www.fifaindex.com/player/177571/timothy-derijck/
3867,Morocco,Manuel da Costa,Medipol Ba?ak?ehir,https://www.fifaindex.com/player/177533/manuel-da-costa/
3868,Germany,Stephan F?rstner,Union Berlin,https://www.fifaindex.com/player/177404/stephan-f%C3%BCrstner/
3869,Norway,Ruben Ytterg?rd Jenssen,FC Groningen,https://www.fifaindex.com/player/177279/ruben-ytterg%C3%A5rd-jenssen/
3870,Chile,Manuel Iturra,Necaxa,https://www.fifaindex.com/player/176903/manuel-iturra/
3871,Colombia,M?yer Candelo,Deportivo Cali,https://www.fifaindex.com/player/176900/m%C3%A1yer-candelo/
3872,Kenya,McDonald Mariga,Real Oviedo,https://www.fifaindex.com/player/176846/mcdonald-mariga/
3873,Sweden,Per Karlsson,AIK,https://www.fifaindex.com/player/176717/per-karlsson/
3874,Albania,Jahmir Hyka,SJ Earthquakes,https://www.fifaindex.com/player/176628/jahmir-hyka/
3875,Uruguay,Lucero ?lvarez,Lobos B.U.A.P.,https://www.fifaindex.com/player/176583/lucero-%C3%A1lvarez/
3876,Poland,Marcin Robak,?l?sk Wroc©©aw,https://www.fifaindex.com/player/176211/marcin-robak/
3877,Poland,Przemys©©aw Tyto?,RC Deportivo,https://www.fifaindex.com/player/176094/przemys%C5%82aw-tyto%C5%84/
3878,Belgium,Ritchie De Laet,Aston Villa,https://www.fifaindex.com/player/175932/ritchie-de-laet/
3879,Kosovo,Samir Ujkani,Cremonese,https://www.fifaindex.com/player/175897/samir-ujkani/
3880,China PR,Feng Xiaoting,Free Agents,https://www.fifaindex.com/player/175589/feng-xiaoting/
3881,Venezuela,Oswaldo Vizcarrondo,ES Troyes AC,https://www.fifaindex.com/player/175462/oswaldo-vizcarrondo/
3882,Honduras,Victor Bern?rdez,SJ Earthquakes,https://www.fifaindex.com/player/175088/victor-bern%C3%A1rdez/
3883,Spain,Torrej?n,Union Berlin,https://www.fifaindex.com/player/173179/torrej%C3%B3n/
3884,England,Lee Tomlin,Cardiff City,https://www.fifaindex.com/player/172904/lee-tomlin/
3885,Greece,Panagiotis Kone,AEK Athens,https://www.fifaindex.com/player/172882/panagiotis-kone/
3886,Italy,Matteo Ardemagni,Avellino,https://www.fifaindex.com/player/172696/matteo-ardemagni/
3887,Spain,Crespo,PAOK,https://www.fifaindex.com/player/172685/crespo/
3888,England,Michael Mancienne,Nott'm Forest,https://www.fifaindex.com/player/171831/michael-mancienne/
3889,Uruguay,Pablo Granoche,La Spezia,https://www.fifaindex.com/player/170964/pablo-granoche/
3890,Cameroon,Landry Joel N'Guemo,Kayserispor,https://www.fifaindex.com/player/170903/landry-joel-nguemo/
3891,Republic of Ireland,Stephen Ireland,Stoke City,https://www.fifaindex.com/player/170570/stephen-ireland/
3892,France,Yann Kermorgant,Reading,https://www.fifaindex.com/player/170353/yann-kermorgant/
3893,England,Cole Skuse,Ipswich,https://www.fifaindex.com/player/170305/cole-skuse/
3894,Wales,Wayne Hennessey,Crystal Palace,https://www.fifaindex.com/player/170084/wayne-hennessey/
3895,England,Micah Richards,Aston Villa,https://www.fifaindex.com/player/169721/micah-richards/
3896,Republic of Ireland,Darren Randolph,Middlesbrough,https://www.fifaindex.com/player/169697/darren-randolph/
3897,England,Kieran Lee,Sheffield Wed,https://www.fifaindex.com/player/169593/kieran-lee/
3898,Algeria,Mehdi Lacen,Getafe CF,https://www.fifaindex.com/player/169432/mehdi-lacen/
3899,Spain,Barrag?n,Real Betis,https://www.fifaindex.com/player/169426/barrag%C3%A1n/
3900,England,Luke Freeman,QPR,https://www.fifaindex.com/player/169078/luke-freeman/
3901,Czech Republic,David Lafata,Sparta Praha,https://www.fifaindex.com/player/168974/david-lafata/
3902,Colombia,Elkin Soto,Once Caldas,https://www.fifaindex.com/player/168561/elkin-soto/
3903,Turkey,Adem B?y?k,Yeni Malatyaspor,https://www.fifaindex.com/player/167753/adem-b%C3%BCy%C3%BCk/
3904,Argentina,Jes?s M?ndez,Toluca,https://www.fifaindex.com/player/167661/jes%C3%BAs-m%C3%A9ndez/
3905,Denmark,Magnus Troest,Novara,https://www.fifaindex.com/player/167653/magnus-troest/
3906,Russia,Kirill Nababkin,CSKA Moscow,https://www.fifaindex.com/player/167601/kirill-nababkin/
3907,Mexico,Jorge Torres Nilo,Tigres,https://www.fifaindex.com/player/167524/jorge-torres-nilo/
3908,Moldova,Alexandru Ga?can,FC Rostov,https://www.fifaindex.com/player/166940/alexandru-ga%C5%A3can/
3909,Republic of Ireland,Marc Wilson,Sunderland,https://www.fifaindex.com/player/166919/marc-wilson/
3910,Northern Ireland,Kyle Lafferty,Hearts,https://www.fifaindex.com/player/166844/kyle-lafferty/
3911,Brazil,Evandro,Hull City,https://www.fifaindex.com/player/166080/evandro/
3912,Argentina,Jorge Ortiz,Belgrano,https://www.fifaindex.com/player/165787/jorge-ortiz/
3913,Australia,Adam Federici,Bournemouth,https://www.fifaindex.com/player/164853/adam-federici/
3914,Germany,Tim Hoogland,VfL Bochum,https://www.fifaindex.com/player/164633/tim-hoogland/
3915,Spain,Xisco,CA Osasuna,https://www.fifaindex.com/player/164471/xisco/
3916,Sweden,Sebastian Larsson,Hull City,https://www.fifaindex.com/player/164459/sebastian-larsson/
3917,Brazil,Paulinho,Cremonese,https://www.fifaindex.com/player/164256/paulinho/
3918,France,Geoffrey Jourdren,AS Nancy,https://www.fifaindex.com/player/163791/geoffrey-jourdren/
3919,Republic of Ireland,Jonny Hayes,Celtic,https://www.fifaindex.com/player/163619/jonny-hayes/
3920,England,John Ruddy,Wolves,https://www.fifaindex.com/player/163600/john-ruddy/
3921,France,J?r?my Cl?ment,AS Nancy,https://www.fifaindex.com/player/163530/j%C3%A9r%C3%A9my-cl%C3%A9ment/
