,nation,player_name,team,url
64,Brazil,Miranda,Inter,https://www.fifaindex.com/player/168609/miranda/
65,France,Karim Benzema,Real Madrid,https://www.fifaindex.com/player/165153/karim-benzema/
66,Portugal,Pepe,Be?ikta?,https://www.fifaindex.com/player/120533/pepe/
67,Czech Republic,Petr ?ech,Arsenal,https://www.fifaindex.com/player/48940/petr-%C4%8Dech/
68,Belgium,Yannick Carrasco,Atl?tico Madrid,https://www.fifaindex.com/player/208418/yannick-carrasco/
69,France,Rapha?l Varane,Real Madrid,https://www.fifaindex.com/player/201535/rapha%C3%ABl-varane/
70,Argentina,Mauro Icardi,Inter,https://www.fifaindex.com/player/201399/mauro-icardi/
71,Spain,Morata,Chelsea,https://www.fifaindex.com/player/201153/morata/
72,Brazil,Casemiro,Real Madrid,https://www.fifaindex.com/player/200145/casemiro/
73,Spain,Koke,Atl?tico Madrid,https://www.fifaindex.com/player/193747/koke/
74,France,Alexandre Lacazette,Arsenal,https://www.fifaindex.com/player/193301/alexandre-lacazette/
75,Costa Rica,Keylor Navas,Real Madrid,https://www.fifaindex.com/player/193041/keylor-navas/
76,Armenia,Henrikh Mkhitaryan,Manchester Utd,https://www.fifaindex.com/player/192883/henrikh-mkhitaryan/
77,Croatia,Danijel Suba?i?,AS Monaco,https://www.fifaindex.com/player/192593/danijel-suba%C5%A1i%C4%87/
78,Germany,Bernd Leno,Bayer 04,https://www.fifaindex.com/player/192563/bernd-leno/
79,Poland,Kamil Glik,AS Monaco,https://www.fifaindex.com/player/190547/kamil-glik/
80,Germany,?lkay G?ndo?an,Manchester City,https://www.fifaindex.com/player/186942/ilkay-g%C3%BCndo%C4%9Fan/
81,Spain,Azpilicueta,Chelsea,https://www.fifaindex.com/player/184432/azpilicueta/
82,Croatia,Ivan Peri?i?,Inter,https://www.fifaindex.com/player/181458/ivan-peri%C5%A1i%C4%87/
83,Bosnia Herzegovina,Miralem Pjani?,Juventus,https://www.fifaindex.com/player/180206/miralem-pjani%C4%87/
84,Brazil,David Luiz,Chelsea,https://www.fifaindex.com/player/179944/david-luiz/
85,Spain,Diego Costa,Chelsea,https://www.fifaindex.com/player/179844/diego-costa/
86,Italy,Claudio Marchisio,Juventus,https://www.fifaindex.com/player/173210/claudio-marchisio/
87,Belgium,Jan Vertonghen,Spurs,https://www.fifaindex.com/player/172871/jan-vertonghen/
88,France,Blaise Matuidi,Juventus,https://www.fifaindex.com/player/170890/blaise-matuidi/
89,Brazil,Filipe Lu?s,Atl?tico Madrid,https://www.fifaindex.com/player/164169/filipe-lu%C3%ADs/
90,Spain,Cesc F?bregas,Chelsea,https://www.fifaindex.com/player/162895/cesc-f%C3%A0bregas/
91,France,Franck Rib?ry,FC Bayern,https://www.fifaindex.com/player/156616/franck-rib%C3%A9ry/
92,Belgium,Vincent Kompany,Manchester City,https://www.fifaindex.com/player/139720/vincent-kompany/
93,Ivory Coast,Eric Bailly,Manchester Utd,https://www.fifaindex.com/player/225508/eric-bailly/
94,Spain,Marco Asensio,Real Madrid,https://www.fifaindex.com/player/220834/marco-asensio/
95,Portugal,Bernardo Silva,Manchester City,https://www.fifaindex.com/player/218667/bernardo-silva/
96,England,Dele Alli,Spurs,https://www.fifaindex.com/player/211117/dele-alli/
97,Brazil,Ederson,Manchester City,https://www.fifaindex.com/player/210257/ederson/
98,Egypt,Mohamed Salah,Liverpool,https://www.fifaindex.com/player/209331/mohamed-salah/
99,Senegal,Sadio Man?,Liverpool,https://www.fifaindex.com/player/208722/sadio-man%C3%A9/
100,Brazil,Marquinhos,PSG,https://www.fifaindex.com/player/207865/marquinhos/
101,Spain,Carvajal,Real Madrid,https://www.fifaindex.com/player/204963/carvajal/
102,Germany,Julian Draxler,PSG,https://www.fifaindex.com/player/202166/julian-draxler/
103,Senegal,Kalidou Koulibaly,Napoli,https://www.fifaindex.com/player/201024/kalidou-koulibaly/
104,Germany,Timo Horn,1. FC K?ln,https://www.fifaindex.com/player/200316/timo-horn/
105,Greece,Kostas Manolas,Roma,https://www.fifaindex.com/player/192774/kostas-manolas/
106,Italy,Ciro Immobile,Lazio,https://www.fifaindex.com/player/192387/ciro-immobile/
107,Argentina,Nicol?s Otamendi,Manchester City,https://www.fifaindex.com/player/192366/nicol%C3%A1s-otamendi/
108,Serbia,Nemanja Mati?,Manchester Utd,https://www.fifaindex.com/player/191202/nemanja-mati%C4%87/
109,Netherlands,Kevin Strootman,Roma,https://www.fifaindex.com/player/189712/kevin-strootman/
110,Spain,Pedro,Chelsea,https://www.fifaindex.com/player/189505/pedro/
111,Spain,Bruno,Villarreal CF,https://www.fifaindex.com/player/184120/bruno/
112,Argentina,?ngel Di Mar?a,PSG,https://www.fifaindex.com/player/183898/%C3%A1ngel-di-mar%C3%ADa/
113,Bosnia Herzegovina,Edin D?eko,Roma,https://www.fifaindex.com/player/180930/edin-d%C5%BEeko/
114,Germany,Sami Khedira,Juventus,https://www.fifaindex.com/player/179846/sami-khedira/
115,Germany,Ralf F?hrmann,FC Schalke 04,https://www.fifaindex.com/player/179783/ralf-f%C3%A4hrmann/
116,Spain,Sergio Asenjo,Villarreal CF,https://www.fifaindex.com/player/178750/sergio-asenjo/
117,Spain,Juan Mata,Manchester Utd,https://www.fifaindex.com/player/178088/juan-mata/
118,Morocco,Medhi Benatia,Juventus,https://www.fifaindex.com/player/177509/medhi-benatia/
119,Brazil,Jonas,SL Benfica,https://www.fifaindex.com/player/176769/jonas/
120,France,St?phane Ruffier,AS Saint-?tienne,https://www.fifaindex.com/player/167628/st%C3%A9phane-ruffier/
121,Colombia,Falcao,AS Monaco,https://www.fifaindex.com/player/167397/falcao/
122,France,Laurent Koscielny,Arsenal,https://www.fifaindex.com/player/165229/laurent-koscielny/
123,Brazil,Dani Alves,PSG,https://www.fifaindex.com/player/146530/dani-alves/
124,Argentina,Alejandro G?mez,Atalanta,https://www.fifaindex.com/player/143076/alejandro-g%C3%B3mez/
125,Italy,Andrea Barzagli,Juventus,https://www.fifaindex.com/player/137186/andrea-barzagli/
126,Spain,Aduriz,Athletic Bilbao,https://www.fifaindex.com/player/106231/aduriz/
127,France,Kylian Mbapp?,PSG,https://www.fifaindex.com/player/231747/kylian-mbapp%C3%A9/
128,France,Ousmane Demb?l?,FC Barcelona,https://www.fifaindex.com/player/231443/ousmane-demb%C3%A9l%C3%A9/
129,Germany,Leroy San?,Manchester City,https://www.fifaindex.com/player/222492/leroy-san%C3%A9/
130,Guinea,Naby Ke?ta,RB Leipzig,https://www.fifaindex.com/player/220971/naby-ke%C3%AFta/
131,France,Nabil Fekir,Olym. Lyonnais,https://www.fifaindex.com/player/216594/nabil-fekir/
132,Uruguay,Jos? Mar?a Gim?nez,Atl?tico Madrid,https://www.fifaindex.com/player/216460/jos%C3%A9-mar%C3%ADa-gim%C3%A9nez/
133,Argentina,Ger?nimo Rulli,Real Sociedad,https://www.fifaindex.com/player/215316/ger%C3%B3nimo-rulli/
134,France,Thomas Lemar,AS Monaco,https://www.fifaindex.com/player/213565/thomas-lemar/
135,Portugal,Jo?o M?rio,Inter,https://www.fifaindex.com/player/212814/jo%C3%A3o-m%C3%A1rio/
136,Germany,Joshua Kimmich,FC Bayern,https://www.fifaindex.com/player/212622/joshua-kimmich/
137,France,Aymeric Laporte,Athletic Bilbao,https://www.fifaindex.com/player/212218/aymeric-laporte/
138,Germany,Niklas S?le,FC Bayern,https://www.fifaindex.com/player/212190/niklas-s%C3%BCle/
139,Germany,Timo Werner,RB Leipzig,https://www.fifaindex.com/player/212188/timo-werner/
140,Germany,Leon Goretzka,FC Schalke 04,https://www.fifaindex.com/player/209658/leon-goretzka/
141,Brazil,Fabinho,AS Monaco,https://www.fifaindex.com/player/209499/fabinho/
